iter	Passed	Remaining
0	136	13477
1	140	6860
2	143	4641
3	146	3526
4	149	2849
5	153	2399
6	157	2089
7	161	1852
8	165	1669
9	168	1518
10	172	1396
11	176	1295
12	180	1205
13	183	1128
14	186	1058
15	189	996
16	193	943
17	196	895
18	200	852
19	203	812
20	206	775
21	209	741
22	212	710
23	215	681
24	217	653
25	222	632
26	225	609
27	228	588
28	232	568
29	235	550
30	238	531
31	242	514
32	245	497
33	248	481
34	251	467
35	254	452
36	258	439
37	261	426
38	264	413
39	267	400
40	269	388
41	272	376
42	275	365
43	278	354
44	281	343
45	284	333
46	287	323
47	290	314
48	293	305
49	296	296
50	299	287
51	302	278
52	304	270
53	307	262
54	310	254
55	313	246
56	316	238
57	319	231
58	322	223
59	325	217
60	328	209
61	331	202
62	333	196
63	336	189
64	339	182
65	342	176
66	345	170
67	348	163
68	350	157
69	353	151
70	356	145
71	359	139
72	362	134
73	365	128
74	368	122
75	371	117
76	374	111
77	376	106
78	379	100
79	383	95
80	386	90
81	389	85
82	392	80
83	395	75
84	398	70
85	401	65
86	403	60
87	406	55
88	409	50
89	412	45
90	415	41
91	417	36
92	420	31
93	423	27
94	425	22
95	427	17
96	430	13
97	433	8
98	436	4
99	439	0
