iter	RMSE
0	3.887369558
1	3.805819843
2	3.724330605
3	3.647977646
4	3.575053778
5	3.509202715
6	3.444909339
7	3.383022771
8	3.333474653
9	3.285066291
10	3.239526294
11	3.18961302
12	3.144864523
13	3.10589358
14	3.067511774
15	3.034632176
16	2.998587655
17	2.966503698
18	2.933644384
19	2.901503892
20	2.870432761
21	2.843838308
22	2.818505053
23	2.791777511
24	2.770286925
25	2.745252554
26	2.724977233
27	2.705433883
28	2.687959494
29	2.668931295
30	2.651072341
31	2.633628819
32	2.614880536
33	2.59948084
34	2.585112158
35	2.570784336
36	2.556927879
37	2.542447039
38	2.528146198
39	2.516270191
40	2.504847959
41	2.491887808
42	2.479833583
43	2.468840635
44	2.457462431
45	2.446693366
46	2.436895829
47	2.427172474
48	2.418581978
49	2.406673486
50	2.398016364
51	2.389657587
52	2.381382287
53	2.372372628
54	2.364382165
55	2.355765062
56	2.349379983
57	2.341044442
58	2.332934283
59	2.326663962
60	2.318590791
61	2.311163256
62	2.303364842
63	2.296573767
64	2.289803761
65	2.283422362
66	2.277859395
67	2.272309933
68	2.265041353
69	2.258084791
70	2.252514066
71	2.24600835
72	2.239261021
73	2.233876968
74	2.228344501
75	2.223788081
76	2.217951579
77	2.212243897
78	2.206926979
79	2.20068548
80	2.196465271
81	2.191853896
82	2.186294687
83	2.180697895
84	2.176852702
85	2.172548726
86	2.167847594
87	2.163374161
88	2.159476372
89	2.154546493
90	2.149764961
91	2.14598062
92	2.142155997
93	2.138760981
94	2.13425966
95	2.129848925
96	2.125053809
97	2.12192091
98	2.118039775
99	2.112901816
100	2.108307163
101	2.105083674
102	2.102248912
103	2.0989918
104	2.096599312
105	2.094146461
106	2.090080108
107	2.086520634
108	2.084291983
109	2.080364673
110	2.077022498
111	2.074371169
112	2.071367535
113	2.070732871
114	2.068243507
115	2.065556915
116	2.062742715
117	2.061105331
118	2.056284691
119	2.053225144
120	2.050084063
121	2.047733533
122	2.042669621
123	2.039937532
124	2.037477928
125	2.034748036
126	2.033082008
127	2.030996952
128	2.027400717
129	2.025353943
130	2.023379962
131	2.021380505
132	2.016840616
133	2.014829851
134	2.013112861
135	2.010482948
136	2.00753721
137	2.005643635
138	2.003348893
139	2.000344171
140	1.999201596
141	1.995754984
142	1.995329275
143	1.993440644
144	1.991793943
145	1.98943583
146	1.985894544
147	1.983421665
148	1.981184769
149	1.979197356
150	1.975691101
151	1.974068174
152	1.972146389
153	1.969636456
154	1.967414181
155	1.966124996
156	1.964001082
157	1.962549226
158	1.95976428
159	1.957798523
160	1.957027306
161	1.95528638
162	1.952591908
163	1.951231039
164	1.948905551
165	1.947220755
166	1.945181488
167	1.943507828
168	1.940598147
169	1.938773942
170	1.938473553
171	1.936618313
172	1.933946392
173	1.929849214
174	1.928176973
175	1.927168333
176	1.924852756
177	1.924503849
178	1.920847551
179	1.919200948
180	1.915957822
181	1.911650918
182	1.909987443
183	1.908695912
184	1.90671137
185	1.906436074
186	1.906177911
187	1.903947251
188	1.902825912
189	1.901430749
190	1.898584942
191	1.89738237
192	1.89621865
193	1.894820329
194	1.894582499
195	1.891360775
196	1.890528871
197	1.889924867
198	1.889653348
199	1.889444531
200	1.888545976
201	1.888342139
202	1.888144859
203	1.886969097
204	1.886774731
205	1.886593032
206	1.884325239
207	1.88414214
208	1.8839687
209	1.881243073
210	1.879987739
211	1.878228262
212	1.877042336
213	1.874149506
214	1.871869404
215	1.870299912
216	1.868105589
217	1.867958399
218	1.867810617
219	1.866266871
220	1.866127328
221	1.865141896
