iter	Passed	Remaining
0	2	2977
1	5	2906
2	8	2765
3	10	2700
4	15	3002
5	17	2951
6	20	2874
7	22	2828
8	25	2789
9	27	2749
10	31	2804
11	33	2783
12	36	2759
13	39	2757
14	41	2747
15	45	2788
16	48	2809
17	51	2801
18	53	2775
19	56	2758
20	58	2738
21	63	2809
22	66	2806
23	69	2808
24	71	2789
25	74	2782
26	77	2796
27	81	2821
28	84	2820
29	88	2853
30	90	2839
31	94	2848
32	115	3388
33	122	3474
34	130	3601
35	134	3605
36	140	3663
37	146	3699
38	149	3678
39	154	3705
40	164	3851
41	169	3863
42	175	3901
43	179	3893
44	182	3881
45	185	3855
46	188	3824
47	200	3969
48	202	3935
49	206	3915
50	211	3932
51	215	3928
52	218	3897
53	221	3874
54	226	3883
55	230	3883
56	233	3855
57	235	3826
58	240	3834
59	243	3821
60	264	4075
61	273	4140
62	278	4142
63	282	4128
64	287	4130
65	291	4123
66	295	4116
67	298	4088
68	302	4086
69	306	4070
70	325	4256
71	331	4273
72	339	4313
73	344	4310
74	347	4285
75	353	4294
76	358	4291
77	360	4262
78	363	4235
79	367	4229
80	371	4211
81	374	4197
82	377	4171
83	382	4168
84	385	4153
85	389	4144
86	392	4120
87	396	4106
88	403	4125
89	407	4120
90	411	4105
91	416	4109
92	420	4098
93	423	4078
94	425	4055
95	429	4048
96	433	4034
97	437	4031
98	440	4010
99	443	3995
100	449	4005
101	462	4071
102	466	4062
103	470	4056
104	473	4035
105	476	4022
106	481	4017
107	485	4011
108	488	3991
109	490	3970
110	494	3959
111	496	3940
112	501	3933
113	505	3928
114	511	3939
115	514	3923
116	517	3909
117	520	3892
118	524	3882
119	530	3889
120	533	3876
121	536	3860
122	539	3847
123	544	3848
124	547	3833
125	550	3815
126	552	3799
127	556	3793
128	576	3890
129	579	3875
130	583	3871
131	586	3854
132	591	3854
133	594	3843
134	599	3839
135	602	3826
136	606	3821
137	609	3809
138	614	3805
139	616	3789
140	619	3773
141	639	3862
142	642	3851
143	648	3854
144	654	3860
145	659	3857
146	662	3845
147	667	3839
148	671	3836
149	674	3823
150	677	3811
151	680	3796
152	683	3783
153	688	3784
154	692	3775
155	695	3763
156	698	3749
157	704	3756
158	707	3744
159	711	3732
160	713	3718
161	718	3715
162	722	3712
163	726	3701
164	728	3687
165	732	3677
166	737	3679
167	741	3670
168	743	3657
169	746	3644
170	749	3632
171	753	3626
172	756	3616
173	759	3604
174	761	3591
175	768	3597
176	771	3586
177	774	3575
178	776	3562
179	784	3572
180	787	3564
181	791	3556
182	794	3546
183	820	3639
184	827	3643
185	834	3653
186	837	3640
187	841	3632
188	847	3635
189	850	3627
190	853	3616
191	856	3605
192	860	3597
193	871	3621
194	873	3605
195	877	3599
196	881	3592
197	884	3582
198	887	3571
199	888	3555
200	893	3550
201	896	3540
202	898	3525
203	901	3519
204	904	3508
205	906	3495
206	913	3501
207	916	3490
208	918	3476
209	921	3466
210	927	3469
211	930	3460
212	934	3452
213	937	3442
214	943	3445
215	947	3437
216	950	3430
217	952	3415
218	954	3404
219	961	3409
220	963	3395
221	966	3387
222	969	3377
223	977	3384
224	980	3376
225	983	3367
226	987	3361
227	993	3365
228	998	3360
229	1001	3352
230	1006	3351
231	1009	3342
232	1012	3334
233	1015	3324
234	1021	3324
235	1024	3316
236	1028	3312
237	1031	3303
238	1037	3303
239	1040	3295
240	1044	3289
241	1047	3280
242	1050	3272
243	1054	3267
244	1062	3273
245	1065	3264
246	1069	3258
247	1072	3251
248	1076	3247
249	1079	3237
250	1083	3233
251	1086	3226
252	1090	3219
253	1094	3214
254	1097	3206
255	1101	3200
256	1103	3191
257	1106	3182
258	1110	3175
259	1113	3169
260	1117	3164
261	1120	3156
262	1123	3147
263	1125	3138
264	1128	3129
265	1132	3125
266	1135	3117
267	1138	3110
268	1141	3101
269	1143	3092
270	1149	3091
271	1152	3083
272	1155	3076
273	1157	3067
274	1160	3059
275	1169	3067
276	1172	3061
277	1175	3052
278	1181	3053
279	1184	3046
280	1187	3039
281	1190	3030
282	1194	3027
283	1221	3080
284	1231	3088
285	1235	3085
286	1239	3079
287	1245	3079
288	1249	3073
289	1252	3065
290	1255	3057
291	1259	3053
292	1263	3049
293	1266	3041
294	1269	3033
295	1272	3025
296	1278	3025
297	1281	3018
298	1284	3010
299	1286	3002
300	1293	3003
301	1296	2996
302	1299	2990
303	1302	2982
304	1308	2982
305	1311	2975
306	1314	2967
307	1317	2960
308	1321	2954
309	1325	2951
310	1328	2943
311	1331	2936
312	1334	2929
313	1340	2929
314	1343	2921
315	1346	2914
316	1349	2906
317	1354	2904
318	1358	2900
319	1361	2893
320	1364	2886
321	1367	2879
322	1373	2877
323	1376	2871
324	1378	2864
325	1381	2856
326	1385	2851
327	1393	2854
328	1395	2846
329	1398	2838
330	1405	2839
331	1408	2834
332	1411	2827
333	1414	2821
334	1421	2821
335	1424	2815
336	1427	2809
337	1430	2801
338	1434	2797
339	1437	2791
340	1440	2783
341	1442	2775
342	1445	2768
343	1450	2766
344	1454	2761
345	1457	2754
346	1460	2747
347	1464	2743
348	1468	2738
349	1470	2731
350	1472	2723
351	1475	2716
352	1478	2710
353	1504	2745
354	1514	2752
355	1520	2751
356	1525	2746
357	1530	2745
358	1534	2739
359	1537	2732
360	1540	2725
361	1545	2722
362	1548	2716
363	1550	2709
364	1553	2702
365	1555	2695
366	1559	2689
367	1561	2682
368	1564	2675
369	1566	2668
370	1569	2660
371	1571	2653
372	1574	2647
373	1577	2640
374	1580	2633
375	1582	2626
376	1585	2619
377	1587	2612
378	1592	2608
379	1595	2602
380	1598	2596
381	1603	2593
382	1605	2587
383	1611	2585
384	1613	2578
385	1616	2571
386	1619	2564
387	1622	2558
388	1631	2562
389	1633	2555
390	1635	2547
391	1637	2540
392	1641	2535
393	1643	2528
394	1646	2521
395	1648	2515
396	1651	2508
397	1655	2503
398	1657	2497
399	1660	2490
400	1662	2483
401	1665	2477
402	1667	2470
403	1672	2467
404	1675	2460
405	1677	2454
406	1680	2448
407	1683	2442
408	1686	2437
409	1689	2431
410	1692	2425
411	1694	2418
412	1697	2412
413	1699	2406
414	1703	2401
415	1706	2395
416	1709	2389
417	1712	2383
418	1714	2377
419	1717	2372
420	1721	2366
421	1723	2360
422	1725	2354
423	1728	2348
424	1731	2341
425	1734	2337
426	1737	2331
427	1739	2325
428	1742	2319
429	1745	2313
430	1747	2307
431	1751	2302
432	1753	2296
433	1756	2291
434	1759	2284
435	1761	2278
436	1764	2273
437	1767	2267
438	1769	2261
439	1772	2255
440	1774	2249
441	1777	2243
442	1780	2238
443	1783	2233
444	1786	2228
445	1788	2222
446	1791	2216
447	1794	2210
448	1797	2206
449	1800	2200
450	1803	2195
451	1806	2190
452	1809	2184
453	1812	2179
454	1815	2174
455	1817	2168
456	1820	2163
457	1823	2157
458	1825	2151
459	1829	2147
460	1831	2141
461	1834	2136
462	1837	2130
463	1839	2125
464	1842	2119
465	1846	2115
466	1848	2109
467	1851	2104
468	1853	2098
469	1856	2093
470	1858	2087
471	1862	2083
472	1865	2078
473	1867	2072
474	1870	2067
475	1872	2061
476	1875	2056
477	1878	2051
478	1881	2046
479	1884	2041
480	1886	2035
481	1889	2030
482	1892	2025
483	1895	2020
484	1898	2016
485	1901	2010
486	1904	2005
487	1906	2000
488	1910	1996
489	1913	1991
490	1915	1985
491	1918	1980
492	1920	1975
493	1923	1970
494	1927	1966
495	1930	1961
496	1933	1956
497	1935	1951
498	1938	1946
499	1941	1941
500	1944	1936
501	1946	1931
502	1949	1926
503	1951	1920
504	1954	1915
505	1957	1911
506	1960	1906
507	1963	1901
508	1965	1896
509	1968	1891
510	1971	1886
511	1974	1881
512	1976	1876
513	1979	1871
514	1982	1866
515	1984	1861
516	1989	1858
517	1991	1853
518	1995	1848
519	1997	1843
520	2000	1838
521	2003	1834
522	2006	1829
523	2008	1824
524	2011	1819
525	2014	1814
